1852,XpresSpa,NULL,"XpresSpa offers the ultimate relaxation experience such as a facial, massage, manicure, pedicure, waxing and much more.",Terminal 5,Departure Level,"BUSINESS SERVICES, SPAS",310-846-0098,33.941728024712546,-118.40436608602692
1902,Treat Me Sweet,NULL,Shop for a variety of candy at Treat Me Sweet.,TBIT,Departure Level,FOOD AND BEVERAGE FACILITIES,424-800-2037,NULL,NULL
1850,Treat Me Sweet,NULL,Shop for a variety of candy at Treat Me Sweet.,Terminal 1,Departure Level,GIFT SHOPS AND NEWS STANDS,310-641-1546,33.94670050288552,-118.401312364418
1686,Starbucks Evenings,NULL,"Starbucks Evenings has all of the wonderful coffee drinks they're known for plus appetizers, beer and wine.",TBIT,South Concourse,FOOD AND BEVERAGE FACILITIES,(310) 258-9627,33.940304,-118.409946
1619,Lemonade,NULL,"Lemonade offers seasonal Southern California comfort food in a fast-casual modern cafeteria setting. Lemonade provides passengers with an “on the go” dining experience featuring marketplace salads, unique sandwiches, and slow simmered braises. It is reall",Terminal 5,Departure Level,FOOD AND BEVERAGE FACILITIES,424-744-5978,33.941117,-118.404285
1732,Hudson,NULL,"The next generation travel essentials store. We are The Traveler’s Best Friend. Hudson’s brightly lit sections – Media, Marketplace, Essentials and Destination – meet customer demand for all the traveler’s essentials: reading materials, snacks, beverages,",TBIT,Great Hall,GIFT SHOPS AND NEWS STANDS,310-646-1770,33.942626,-118.410609
1819,Hudson,NULL,"The next generation travel essentials store. We are The Traveler’s Best Friend. Hudson’s brightly lit sections – Media, Marketplace, Essentials and Destination – meet customer demand for all the traveler’s essentials: reading materials, snacks, beverages,",TBIT,Ticketing Level,GIFT SHOPS AND NEWS STANDS,310-646-1770,33.94296945,-118.40928878
1706,CNN Los Angeles Newsstand,NULL,"Since its inception in 1980, Cable News Network (CNN) has built a solid reputation for breaking and interpreting the news, with over 900 affiliated local stations and media stars like Anderson Cooper, Wolf Blitzer, Soledad O’Brien and Dr. Sanjay Gupta. In",TBIT,South Concourse,GIFT SHOPS AND NEWS STANDS,(424) 750-9102,33.940985,-118.410322
1832,Hollywood Reporter,NULL,"The Hollywood Reporter is a widely trusted resource for breaking entertainment news, movie and TV reviews, movie trailers, TV clips and analysis.  As the entertainment industry's flagship media brand, the Hollywood Reporter brings in-depth reporting, anal",Terminal 5,Arrival Level,GIFT SHOPS AND NEWS STANDS,(310) 417-2844,33.94257358751758,-118.40474159528901
1707,Hollywood Reporter,NULL,"The Hollywood Reporter is a widely trusted resource for breaking entertainment news, movie and TV reviews, movie trailers, TV clips and analysis.  As the entertainment industry's flagship media brand, the Hollywood Reporter brings in-depth reporting, anal",TBIT,South Concourse,GIFT SHOPS AND NEWS STANDS,424-227-9910,33.940265,-118.410217
1792,Travel + Leisure,NULL,"Travel + Leisure is the world’s leading travel magazine, a celebration of travel. The T+L store focuses on all aspects of travel, particularly on the fine luggage and accessory products that make the travel experience easier and more fashionable.  T-Tech,",TBIT,Ticketing Level,GIFT SHOPS AND NEWS STANDS,(310) 642-0512,33.94372525,-118.40864797
1794,Virgin Mobile/Boost Mobile,NULL,"Brand-name electronics, accessories, chargers, cameras, computer bags and accessories. Tech on the Go focuses on what the wired traveler needs, especially power and sound. Here can be found portable electronic devices, headphones, cases, chargers, accesso",TBIT,Arrival Level,GIFT SHOPS AND NEWS STANDS,310-646-1770,NULL,NULL
1705,Bliss,NULL,"Everything the traveler needs to feel good. Bath and spa products from Bliss, from sunscreens to soaps to soothing lotions for all skin types.  ",TBIT,South Concourse,GIFT SHOPS AND NEWS STANDS,(424) 750-9001,33.94112,-118.41034
1724,Michael Kors,NULL,"The top rung on the fashion ladder these days belongs to superstar American designer Michael Kors. His fashion-forward handbags and accessories virtually call to passersby from this bright and appealing store. Sexy, curved glass enclosures and a bold marq",TBIT,Great Hall,GIFT SHOPS AND NEWS STANDS,424-800-2274,33.94346443,-118.41043628
1701,Fred Segal,NULL,"The ivy-covered façade alerts you that you are about to enter the airport outpost of Fred Segal’s high end department store, one of the top LA haunts of A-list celebrities shopping for anything from high fashion to funky retro duds, kids wear to home good",TBIT,Great Hall,GIFT SHOPS AND NEWS STANDS,310-646-1770,33.94331523,-118.41036513
444,ICE Currency Exchange Kiosk,Located in LAX  airport.,NULL,Terminal 2,Arrival Level,"BUSINESS SERVICES, INSURANCE, CURRENCY EXCHANGE",310-646-5818,33.94533676,-118.40407122
1919,Shake Shack,NULL,Shake Shack grills up 100% all-natural Angus beef and crinkle cut fries.,Terminal 3,Departure Level,FOOD AND BEVERAGE FACILITIES,310-307-7499,33.946675560497454,-118.4074050288408
1938,Panda Express ,NULL,"Panda express is well known for its teriyaki chicken, egg rolls, fried rice and other Asian favorites.",Terminal 3,NULL,FOOD AND BEVERAGE FACILITIES,NULL,NULL,NULL
1937,Earthbar ,NULL,"Earthbar offers healthy snacks, smoothies, and grab & go food options.",Terminal 3,Departure Level,FOOD AND BEVERAGE FACILITIES,NULL,NULL,NULL
